Book Id,Title,Author,My Rating,Average Rating,Publisher,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Read Count
10353287,Princess: A True Story of Life Behind the Veil in Saudi Arabia,Jean Sasson,0,4.01,,304,,1992,,16/11/2021,to-read,0
3711,White Teeth,Zadie Smith,0,3.79,Vintage,448,2001,2000,,16/11/2021,to-read,0
40961543,The Reluctant Fundamentalist,Mohsin Hamid,0,3.73,Mariner Books; 1 edition,228,2007,2007,,16/11/2021,to-read,0
18505784,The Pearl That Broke Its Shell,Nadia Hashimi,0,4.17,William Morrow,452,2014,2014,,16/11/2021,to-read,0
41881472,The Psychology of Money,Morgan Housel,5,4.38,Harriman House,252,2020,2020,16/11/2021,10/11/2021,read,1
2612,The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,5,4,Time Warner Book Group,301,2002,2000,,02/03/2021,read,1
22668729,Hooked: How to Build Habit-Forming Products,Nir   Eyal,5,4.1,Portfolio,256,2014,2013,24/10/2021,12/10/2021,read,1
17383989,"Jab, Jab, Jab, Right Hook: How to Tell Your Story in a Noisy Social World",Gary Vaynerchuk,0,3.98,Harper Business,195,2013,2013,,10/10/2021,to-read,0
19173266,Write. Publish. Repeat. (The No-Luck-Required Guide to Self-Publishing Success),Sean Platt,0,4.29,Realm & Sands,339,2013,2013,,10/10/2021,to-read,0
17718183,"Epic Content Marketing: How to Tell a Different Story, Break Through the Clutter, and Win More Customers by Marketing Less",Joe Pulizzi,0,3.98,McGraw-Hill Companies,332,2013,2013,,10/10/2021,currently-reading,1
2848658,Buyology: Truth and Lies About Why We Buy and the New Science of Desire,Martin Lindstrom,0,3.76,Currency,304,2008,2008,,10/10/2021,currently-reading,1
31430970,The Smart Money Woman,Arese Ugwu,5,4.2,Matador,184,2016,,,30/09/2021,read,1
43119517,"Clever Girl Finance: Ditch Debt, Save Money and Build Real Wealth",Bola Sokunbi,3,3.83,Wiley,240,2019,,10/10/2021,30/09/2021,read,1
1713426,Predictably Irrational: The Hidden Forces That Shape Our Decisions,Dan Ariely,0,4.12,HarperCollins Canada ,247,2008,2008,,28/09/2021,to-read,0
49176,Games People Play,Eric Berne,0,3.76,Penguin,192,1964,1964,,28/09/2021,to-read,0
359194,The Lucifer Effect: Understanding How Good People Turn Evil,Philip G. Zimbardo,0,3.92,Random House (NY),551,2007,2007,,28/09/2021,to-read,0
12391521,The Psychopath Test: A Journey Through the Madness Industry,Jon Ronson,0,3.95,Riverhead Books,275,2012,2011,,28/09/2021,to-read,0
8520610,Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,0,4.07,"Crown Publishing Group/Random House, Inc.",333,2012,2012,,28/09/2021,to-read,0
4069,Man's Search for Meaning,Viktor E. Frankl,0,4.37,Beacon Press,165,2006,1946,,28/09/2021,to-read,0
8255951,Swallow,Sefi Atta,0,3.65,Interlink Books,268,2012,2010,,28/09/2021,to-read,0
